u_idx,i_idx,timestamp
35,47103,1388361600
36,34074,1351036800
36,34615,1370736000
36,23049,1370822400
36,1533,1377561600
36,51195,1383868800
37,53906,1355961600
37,13511,1358467200
37,47727,1358467200
38,1569,1394150400
38,10148,1394150400
38,25473,1394150400
38,53388,1394150400
38,56495,1394150400
38,13911,1397260800
39,38678,1351728000
39,12818,1370822400
39,48991,1370822400
40,52898,1357603200
40,46843,1386115200
40,57436,1386115200
41,33386,1365033600
41,35840,1375920000
41,45119,1375920000
41,52203,1382486400
42,49906,1362614400
42,25465,1398211200
42,41029,1398211200
43,4349,1367366400
43,15519,1367366400
43,25839,1367366400
43,32318,1367366400
44,22144,1360281600
44,54413,1361664000
44,12994,1386288000
44,30739,1386288000
44,34717,1386288000
44,20875,1391299200
44,3987,1391817600
44,22225,1391817600
44,9685,1391904000
45,32472,1361232000
45,52139,1383955200
45,54938,1383955200
45,26442,1388275200
46,39691,1358467200
46,5646,1393200000
46,24460,1393200000
46,39107,1393200000
47,41606,1370304000
47,43787,1370304000
47,45043,1370304000
48,47693,1377820800
48,53972,1383177600
48,41207,1383264000
48,29822,1383350400
49,40935,1385683200
49,44918,1385683200
49,55303,1385683200
50,44453,1366502400
50,54175,1366502400
50,39822,1392854400
50,52240,1392854400
51,23253,1357084800
51,50637,1357084800
51,18129,1375488000
52,637,1361750400
52,19189,1361750400
52,51714,1391644800
52,48023,1394064000
52,52475,1394064000
53,51866,1401494400
53,58664,1401494400
53,60716,1401494400
54,43257,1370908800
54,46919,1372636800
54,57881,1373846400
54,54909,1382313600
54,49679,1382486400
54,57365,1385078400
55,23574,1361232000
55,48399,1361232000
55,48638,1361232000
55,44184,1362614400
55,53818,1364774400
56,46466,1380758400
56,49752,1391212800
56,52232,1391212800
56,55799,1391212800
56,58031,1391212800
56,59393,1391212800
57,42404,1357862400
57,34033,1365120000
57,40760,1365120000
58,20176,1352764800
58,29064,1352764800
58,61101,1388016000
58,29105,1389312000
59,50816,1354579200
59,5304,1362787200
59,21533,1362787200
60,8424,1399852800
60,12167,1399852800
60,14241,1399852800
61,55471,1368576000
61,24390,1391644800
61,4330,1391731200
62,4724,1359158400
62,41865,1362873600
62,1016,1366329600
62,7121,1366329600
62,8448,1366329600
62,22071,1366329600
62,34305,1381363200
63,44284,1358726400
63,47606,1358985600
63,3175,1400371200
63,9731,1400371200
63,37082,1400371200
63,41321,1400371200
63,55994,1400371200
64,26031,1381968000
64,54683,1381968000
64,46899,1390780800
65,3058,1352505600
65,31965,1352505600
65,2585,1380758400
65,14190,1383696000
66,15255,1353801600
66,26703,1353801600
66,35443,1353974400
66,41837,1353974400
66,61736,1397779200
67,8357,1375574400
67,13576,1375574400
67,24275,1375574400
67,35463,1375574400
68,52961,1357862400
68,51137,1358208000
68,50348,1360022400
68,26173,1363824000
69,26674,1377475200
69,8221,1380672000
69,8832,1380672000
69,11516,1380672000
70,53318,1369353600
70,35539,1373328000
70,19692,1377907200
70,30186,1390003200
70,22331,1391472000
71,9507,1165968000
71,9610,1165968000
71,2157,1217462400
71,5039,1217462400
71,10234,1218499200
71,13832,1218499200
71,10036,1259798400
71,16613,1259798400
71,38236,1327536000
71,7318,1346371200
72,4724,1363392000
72,52949,1372896000
72,9627,1396828800
73,24145,1376524800
73,45719,1376524800
73,54659,1376524800
73,14848,1379376000
73,45154,1379376000
73,44380,1388966400
74,23468,1256256000
74,20677,1259020800
74,23186,1266969600
74,19257,1272153600
74,26991,1279238400
74,30095,1288224000
74,34901,1303344000
74,34121,1308182400
74,42115,1337212800
74,44333,1356825600
74,43475,1356912000
74,49551,1356912000
74,57633,1370476800
74,56100,1390089600
75,12925,1211760000
75,17965,1258588800
75,28550,1263772800
75,26569,1292371200
75,46702,1348272000
75,39215,1367020800
75,59102,1379030400
75,21824,1382659200
76,25262,1350432000
76,12667,1351036800
76,24839,1358035200
76,29434,1365724800
76,32031,1365724800
76,37727,1365724800
76,3143,1376265600
76,53760,1376265600
76,7438,1385596800
76,51798,1389052800
76,42425,1393804800
76,44292,1393804800
76,61515,1393804800
76,14472,1402963200
76,24741,1402963200
77,49626,1372377600
77,60714,1388880000
77,4326,1389484800
78,5524,1158019200
78,7719,1163462400
78,2691,1176163200
78,35584,1330732800
79,4383,1168560000
79,7917,1168560000
79,8301,1189468800
79,10311,1189468800
79,10675,1207353600
79,10933,1207353600
80,24821,1269043200
80,29105,1396310400
80,41491,1396310400
81,44186,1387929600
81,2802,1389571200
81,12287,1389571200
82,29064,1355529600
82,25394,1360886400
82,47107,1360886400
82,10521,1363996800
82,46152,1363996800
82,54634,1363996800
83,21157,1314057600
83,998,1325635200
83,36736,1325635200
83,38203,1325635200
83,2097,1341792000
83,20894,1341792000
83,38924,1341792000
83,17297,1341878400
83,20937,1341878400
83,33283,1373241600
84,23376,1292803200
84,13554,1294272000
84,23826,1294272000
85,38923,1312329600
85,40243,1314316800
85,41806,1315526400
85,29064,1347753600
85,31265,1347753600
85,38650,1347753600
85,40266,1347753600
85,44717,1395014400
85,57371,1395014400
86,57291,1371254400
86,15170,1371772800
86,25374,1371772800
86,31869,1376611200
86,56584,1376611200
87,51011,1380067200
87,51195,1380326400
87,38882,1383350400
87,44400,1390435200
87,45293,1390435200
88,32407,1305849600
88,13554,1373241600
88,53944,1373241600
89,2196,1062028800
89,14501,1211932800
89,13221,1216771200
89,1517,1223856000
89,7742,1243900800
89,21329,1248307200
89,21535,1261094400
89,18180,1295222400
89,39277,1341014400
89,44058,1341446400
89,52068,1346371200
89,50190,1356134400
89,35168,1369180800
90,31422,1293494400
90,33038,1309392000
90,25525,1325203200
90,42845,1372118400
91,11246,1273708800
91,13152,1367366400
91,25670,1367366400
92,22999,1273881600
92,10520,1274313600
92,12794,1274313600
92,21870,1293321600
93,44284,1353974400
93,51776,1365206400
93,56635,1384560000
93,9867,1404345600
93,20184,1404345600
94,3663,1150588800
94,4853,1150588800
94,12878,1349568000
94,45779,1349654400
94,38094,1349740800
94,41181,1349740800
94,34848,1349827200
94,53644,1349827200
94,46550,1349913600
94,26043,1350000000
94,527,1350086400
94,8285,1350086400
94,14434,1350086400
94,14565,1350086400
94,23842,1350086400
94,30844,1350086400
94,38592,1350086400
94,10675,1350518400
94,16825,1350518400
94,34113,1350518400
94,40063,1350950400
94,51034,1350950400
94,53299,1350950400
94,53874,1351036800
94,16218,1351123200
94,18953,1351123200
94,39162,1351123200
94,21441,1351468800
94,53043,1351468800
94,12272,1351728000
94,23491,1351728000
94,1449,1351814400
94,24430,1351814400
94,37702,1351900800
94,52752,1351900800
94,52924,1352246400
94,36076,1353024000
94,41407,1353024000
94,42211,1353024000
94,3069,1353369600
94,52952,1353888000
94,30517,1354060800
94,15049,1354147200
94,38478,1354406400
94,46295,1354579200
94,14492,1354665600
94,51769,1354665600
94,53707,1354665600
94,54762,1354665600
94,53151,1355011200
94,39125,1355184000
94,45400,1355270400
94,39163,1355443200
94,50842,1355616000
94,48388,1355788800
94,9631,1356134400
94,46332,1356134400
94,50222,1356134400
94,46907,1356220800
94,54831,1357084800
94,39928,1357344000
94,36671,1357689600
94,26880,1358899200
94,52955,1359158400
94,33623,1359244800
94,52389,1359504000
94,54488,1359763200
94,43369,1360454400
94,53087,1360454400
94,43170,1360627200
94,55644,1360800000
94,4724,1360886400
94,51715,1361577600
94,53088,1361664000
95,13316,1403740800
95,40965,1403740800
95,50939,1403740800
95,55233,1403740800
96,300,997660800
96,33629,1319068800
96,18100,1332633600
97,7840,1207267200
97,25200,1207267200
97,10644,1246752000
97,8060,1256342400
97,2968,1264550400
97,21966,1264550400
97,15057,1268870400
97,20675,1268870400
97,4383,1271635200
97,24984,1271894400
97,22072,1272240000
97,1664,1275523200
97,17066,1275523200
97,12134,1275955200
97,24511,1277424000
97,25746,1278115200
97,19719,1282953600
97,29615,1282953600
97,23558,1285200000
97,10455,1285804800
97,5058,1288483200
97,220,1293840000
97,15277,1293840000
97,12033,1294531200
97,21917,1294531200
97,1937,1299456000
97,28235,1299456000
97,35210,1299974400
97,17380,1300320000
97,31859,1300320000
97,33852,1306281600
97,33560,1307664000
97,35363,1312416000
97,342,1313280000
97,1990,1313280000
97,6706,1313280000
97,1989,1313452800
97,4733,1313452800
97,14434,1313452800
97,40902,1314230400
97,30299,1315094400
97,22188,1315699200
97,28633,1316649600
97,11222,1320192000
97,43867,1327536000
97,29105,1333670400
97,30099,1333670400
97,33172,1336435200
97,47944,1344470400
97,47858,1345248000
97,9562,1345593600
97,50336,1345593600
97,34806,1346198400
97,41177,1347494400
97,34798,1351641600
97,37362,1356220800
97,52872,1359331200
97,54549,1362182400
97,55587,1363478400
98,45059,1357862400
98,29012,1362268800
98,29279,1362268800
99,5416,1377216000
99,46595,1377216000
99,52542,1377216000
99,56861,1377216000
99,53730,1387324800
99,21860,1401753600
99,25324,1401753600
100,4724,1198800000
100,15340,1207958400
100,15205,1226361600
100,20562,1287360000
100,31506,1298246400
100,37178,1301097600
101,16218,1244160000
101,1603,1282694400
101,15057,1286150400
101,26249,1286150400
101,30997,1326931200
101,55512,1370649600
101,45154,1371513600
101,49528,1371513600
101,9258,1397174400
102,12059,1205193600
102,22158,1260921600
102,14302,1276473600
103,4975,1392595200
103,9496,1392595200
103,56961,1392595200
103,17178,1393200000
103,50654,1393200000
104,9362,1400112000
104,17506,1400112000
104,18997,1400112000
105,6954,1185840000
105,14900,1242604800
105,5039,1254182400
105,14721,1311465600
105,9208,1317427200
106,2097,1338940800
106,23828,1338940800
106,20138,1341792000
106,42072,1343779200
106,51983,1374105600
106,8511,1376352000
106,40657,1376352000
106,46522,1386720000
106,450,1397692800
106,5248,1397692800
106,7922,1397692800
106,9562,1397692800
106,9888,1397692800
106,10740,1397692800
106,20175,1397692800
106,34075,1397692800
107,28428,1294185600
107,47837,1345420800
107,39238,1364169600
108,6561,1213920000
108,15757,1363392000
108,37059,1371513600
109,15684,1232323200
109,37946,1328140800
109,55641,1359331200
109,43282,1367107200
109,52356,1369699200
109,34066,1373068800
109,46244,1373068800
109,46898,1373068800
109,53879,1373068800
109,56478,1389571200
109,51457,1399334400
110,1979,1123545600
110,14525,1240704000
110,38039,1370217600
110,55145,1370217600
110,23759,1388016000
110,52268,1393027200
111,45993,1354233600
111,1827,1366848000
111,3309,1366848000
111,39110,1366848000
111,42260,1366848000
111,45106,1366848000
111,47453,1366848000
111,25670,1399939200
111,36614,1399939200
112,1052,1051142400
112,2439,1081555200
112,6567,1166486400
112,15002,1221609600
112,1676,1225411200
112,13592,1232323200
112,26727,1266537600
113,42345,1366761600
113,29306,1401408000
113,45464,1401408000
114,7883,1167868800
114,10527,1198800000
114,8093,1211846400
114,14233,1246752000
114,36200,1308182400
114,49551,1348704000
114,52624,1360972800
115,59518,1377302400
115,16679,1392768000
115,56101,1392768000
116,57788,1372204800
116,9761,1372291200
116,51867,1372291200
116,55545,1372291200
116,57832,1372291200
116,15006,1373328000
117,40744,1382572800
117,52367,1382572800
117,25700,1383609600
117,58087,1385424000
118,16609,1278720000
118,23469,1324166400
118,43451,1357171200
118,25839,1377734400
118,29105,1387411200
118,57017,1387411200
119,29280,1293667200
119,51742,1337644800
119,31525,1379462400
119,36995,1379548800
119,2724,1385596800
120,15172,1238889600
120,22981,1275264000
120,10539,1285372800
121,13516,1196553600
121,9503,1196640000
121,25005,1317168000
121,38366,1329868800
121,14723,1361318400
121,17614,1361318400
121,46787,1361318400
122,18238,1231718400
122,2657,1235692800
122,10097,1242950400
122,15798,1242950400
122,20201,1264982400
122,17576,1265846400
122,16679,1266278400
123,27666,1330992000
123,35066,1330992000
123,45407,1336521600
123,36248,1338422400
123,38096,1339977600
123,36657,1341619200
123,853,1349481600
123,54603,1352678400
123,53365,1358035200
123,12287,1389225600
123,24145,1389225600
124,2693,1095033600
124,5113,1123200000
124,659,1160006400
124,3439,1171411200
124,15074,1229212800
124,2648,1255305600
124,6738,1279152000
124,14128,1283040000
125,21348,1240790400
125,12750,1240963200
125,11041,1323820800
126,19910,1247270400
126,9273,1281744000
126,15582,1291161600
126,17928,1305158400
127,12960,1209686400
127,12962,1209686400
127,13253,1209686400
127,13256,1209686400
128,7631,1390348800
128,26043,1390348800
128,27427,1390348800
129,43827,1385683200
129,53213,1385683200
129,55933,1385683200
130,32840,1355356800
130,46649,1355356800
130,50348,1355356800
130,46587,1356307200
130,34477,1356566400
130,52146,1356566400
130,11674,1368921600
131,12511,1299542400
131,19281,1357948800
131,29670,1357948800
132,1608,1116547200
132,1767,1116547200
132,4144,1116547200
133,9916,1389744000
133,16877,1389744000
133,37918,1389744000
133,42370,1389744000
134,14234,1358985600
134,22476,1358985600
134,33270,1358985600
134,46797,1358985600
134,46954,1358985600
135,49903,1357344000
135,23671,1401148800
135,47242,1401148800
136,55400,1387584000
136,21081,1392336000
136,27582,1392336000
136,35972,1392336000
136,52504,1392336000
137,41114,1337212800
137,36630,1351555200
137,41382,1381881600
138,32184,1402876800
138,38402,1402876800
138,42827,1402876800
138,48299,1402876800
138,49695,1402876800
139,15808,1215648000
139,11684,1220832000
139,14996,1278547200
139,41317,1354147200
139,42850,1369958400
139,57017,1370044800
139,1240,1378252800
139,1319,1378339200
139,176,1386460800
139,38548,1386460800
139,44261,1386460800
140,47804,1361750400
140,37190,1388793600
140,55587,1388793600
141,28587,1369699200
141,47161,1369699200
141,56003,1369699200
142,44532,1383436800
142,48029,1384560000
142,58689,1384560000
142,60505,1384560000
142,52822,1394668800
143,1200,1048464000
143,2048,1050019200
143,4674,1095638400
143,4415,1101168000
144,1673,1358899200
144,4191,1358899200
144,37642,1358899200
145,48342,1342483200
145,59135,1381795200
145,20381,1382918400
145,25628,1384387200
145,33753,1384387200
145,13567,1384560000
145,35531,1384560000
145,36917,1384560000
146,11611,1265328000
146,15767,1265328000
146,32617,1316908800
147,14287,1367107200
147,30956,1367107200
147,36056,1367107200
148,12009,1199059200
148,12759,1199059200
148,2425,1205625600
148,4736,1233619200
148,20102,1257120000
148,220,1268611200
148,1302,1268611200
148,32297,1293580800
148,35976,1327017600
148,1281,1352764800
148,25284,1359158400
148,40369,1359158400
148,41382,1359158400
148,44261,1359158400
149,23340,1377907200
149,5867,1379721600
149,11749,1379721600
149,32556,1379721600
149,46875,1385856000
149,47157,1385856000
149,52775,1385856000
149,54799,1385856000
149,58147,1385856000
149,59707,1385856000
149,60336,1385856000
149,26930,1385942400
149,47548,1388361600
149,48432,1388361600
149,52822,1388361600
149,53621,1388361600
150,14328,1361577600
150,19618,1361577600
150,30145,1361577600
150,45082,1361577600
150,53172,1362614400
150,54402,1362614400
151,16880,1225152000
151,38989,1361664000
151,46550,1361664000
151,48755,1361664000
152,32921,1306972800
152,23469,1343088000
152,48232,1344470400
152,50738,1345161600
153,37139,1389398400
153,40489,1389398400
153,48299,1389398400
153,51399,1389398400
154,36494,1356048000
154,11091,1359504000
154,20254,1364688000
154,20586,1364688000
155,42062,1367539200
155,4728,1386374400
155,10675,1386374400
155,14672,1386374400
155,21903,1386374400
155,29105,1386374400
155,50042,1386374400
156,18136,1232409600
156,18240,1233014400
156,16630,1297382400
156,30847,1353715200
156,3987,1357689600
156,27409,1359676800
156,47747,1359676800
157,10035,1326672000
157,30319,1326672000
157,16679,1333670400
157,46413,1371081600
157,54643,1371081600
157,55670,1371081600
158,24244,1308614400
158,30646,1322265600
158,23406,1357430400
159,7552,1308096000
159,13154,1323129600
159,38495,1323129600
160,7334,1229472000
160,24734,1283731200
160,30583,1292976000
160,44398,1374796800
161,4728,1239753600
161,19045,1239753600
161,56452,1239753600
161,14948,1242172800
161,26612,1262390400
161,17246,1270080000
161,23903,1274832000
161,14673,1282262400
161,23536,1296777600
161,28771,1312329600
161,8,1323820800
161,36027,1327363200
161,38158,1330905600
161,38193,1338768000
161,43447,1338768000
161,7842,1346803200
161,21441,1356048000
161,50497,1357689600
161,55861,1365379200
161,57196,1366329600
162,18289,1389657600
162,31243,1389657600
162,33320,1389744000
163,11545,1310601600
163,23471,1313020800
163,39589,1338249600
164,10074,1279756800
164,18293,1279756800
164,19205,1279756800
164,24154,1279756800
164,10203,1288051200
164,29827,1291075200
164,14676,1305504000
164,14437,1326672000
164,23759,1326672000
164,51602,1350259200
165,18195,1348185600
165,30358,1348185600
165,38235,1348185600
165,16679,1351382400
166,21902,1268006400
166,30139,1368057600
166,42777,1368057600
166,47548,1368057600
166,57749,1369267200
166,54972,1399248000
167,32086,1364688000
167,43395,1364688000
167,45642,1393372800
168,29574,1325980800
168,21533,1334016000
168,12862,1389744000
168,16682,1389744000
169,3919,1104278400
169,5681,1118448000
169,18100,1247961600
169,20618,1269993600
169,6061,1280966400
169,5342,1281052800
169,7051,1288137600
169,32444,1290902400
169,32435,1292803200
169,27512,1294358400
169,44637,1327708800
170,2252,1370908800
170,46794,1370908800
170,755,1371168000
170,16679,1371168000
170,54115,1373155200
171,32360,1295913600
171,15459,1319500800
171,54393,1395014400
172,2586,1326412800
172,1827,1329091200
172,3589,1329091200
173,9080,1325721600
173,30607,1334793600
173,32344,1391817600
174,3,1353542400
174,31614,1353542400
174,42155,1353542400
175,14191,1376611200
175,47919,1376611200
175,56330,1376611200
176,20987,1375056000
176,23759,1375056000
176,24957,1375056000
176,29105,1375056000
176,32962,1375056000
176,41455,1375056000
176,42046,1375056000
176,47650,1375056000
176,50841,1375056000
176,51204,1375056000
176,55885,1375056000
176,20663,1388275200
177,53986,1381276800
177,56100,1382400000
177,25743,1385251200
177,29105,1386288000
177,9535,1390608000
177,29064,1391817600
178,30288,1389225600
178,54291,1389225600
178,6226,1389312000
178,28358,1389312000
178,32397,1389312000
178,58692,1389312000
179,14955,1307145600
179,37266,1307664000
179,40243,1314144000
179,32973,1323820800
179,23129,1325376000
180,38786,1317427200
180,18011,1365379200
180,26476,1391731200
180,29749,1391731200
180,31978,1391731200
180,57430,1391731200
180,1237,1393459200
180,12106,1393459200
181,51586,1360195200
181,3486,1387238400
181,47956,1394064000
182,32447,1325376000
182,2666,1325548800
182,45919,1341187200
182,53142,1348099200
183,25963,1341532800
183,14153,1352073600
183,33172,1367712000
183,16456,1368144000
184,7640,1237852800
184,21096,1369353600
184,49210,1391731200
185,7318,1219968000
185,15081,1219968000
185,14676,1238630400
185,17397,1238630400
186,12854,1243814400
186,10314,1250640000
186,22690,1274054400
186,27855,1278288000
186,2151,1287187200
186,4133,1287187200
186,11412,1287187200
186,19826,1287187200
186,4610,1300492800
186,37669,1308009600
186,38623,1308009600
186,51760,1361836800
186,31776,1370649600
186,55891,1385769600
186,41921,1387670400
186,21533,1390003200
186,47966,1390003200
187,26071,1331424000
187,26992,1356480000
187,43843,1356480000
187,9396,1361664000
188,18333,1310342400
188,29369,1310342400
188,23813,1323216000
188,23814,1323216000
188,53504,1389225600
188,27384,1395964800
188,31234,1395964800
188,56172,1395964800
189,20037,1355961600
189,28058,1355961600
189,39036,1355961600
190,28479,1310169600
190,26442,1316131200
190,32944,1316822400
191,12349,1269907200
191,25618,1272844800
191,5694,1304380800
191,6738,1304380800
191,13867,1327104000
191,29508,1375574400
192,32406,1353715200
192,19762,1355529600
192,25839,1355529600
192,26684,1355529600
192,37168,1355529600
193,28382,1329782400
193,47960,1366934400
193,13922,1381795200
194,838,1354924800
194,22078,1354924800
194,25671,1354924800
194,39161,1354924800
195,34749,1358208000
195,43465,1358208000
195,45848,1358208000
195,10035,1404864000
196,7921,1384300800
196,26929,1384300800
196,30617,1384300800
196,31673,1384300800
197,7339,1168819200
197,11637,1207440000
197,14653,1239580800
197,25473,1356912000
197,48366,1356912000
197,52150,1356912000
197,33081,1370217600
198,6611,1213574400
198,14939,1216339200
198,743,1216857600
198,11411,1243468800
198,14466,1244764800
198,11410,1245283200
198,9303,1246492800
198,15746,1246492800
198,19722,1246492800
198,31002,1300233600
198,29214,1303171200
198,26481,1308182400
198,33704,1330128000
198,33761,1335139200
198,44890,1335139200
198,45033,1335139200
198,41997,1350864000
198,49672,1351209600
198,43627,1354665600
198,44717,1363132800
198,53367,1379808000
198,16499,1384732800
198,45941,1384732800
199,41026,1370217600
199,23223,1370563200
199,41617,1370563200
200,16720,1257552000
200,39677,1339286400
200,43440,1339632000
200,43443,1340150400
200,45865,1351036800
200,50346,1351036800
200,1569,1362787200
200,28443,1373673600
200,44603,1373673600
200,41020,1377388800
200,39839,1380844800
200,29064,1387152000
201,39312,1347148800
201,34131,1361318400
201,48560,1361318400
201,20986,1361664000
201,38899,1361664000
201,48067,1361664000
201,35575,1377302400
201,55864,1377302400
202,18293,1270598400
202,26971,1271376000
202,27321,1278892800
202,7550,1326585600
203,4935,1099958400
203,10740,1268438400
203,17666,1283990400
203,32331,1290729600
203,36630,1327449600
203,30185,1329264000
203,48188,1335312000
203,20872,1367280000
203,25948,1375142400
204,42657,1360800000
204,31276,1369267200
204,46834,1383782400
205,8243,1174089600
205,9435,1200096000
205,13592,1255737600
206,36970,1373068800
206,11692,1388102400
206,29298,1388102400
206,38055,1388102400
206,45291,1388102400
207,7442,1143158400
207,46515,1354320000
207,29956,1373155200
208,26025,1360108800
208,9222,1363046400
208,2042,1366675200
208,51399,1366675200
209,29080,1356912000
209,5244,1357257600
209,20753,1357257600
209,27558,1357257600
210,21727,1278720000
210,32732,1289088000
210,18904,1290643200
211,41507,1315699200
211,46470,1362268800
211,35114,1378771200
211,52424,1390262400
212,22479,1321488000
212,35877,1327449600
212,40255,1328745600
212,47655,1334534400
212,33863,1354147200
212,48214,1354147200
212,31686,1362009600
212,40989,1362009600
212,41837,1362009600
212,52390,1372550400
212,42063,1372809600
213,2454,1289865600
213,18047,1291075200
213,14175,1356739200
213,23759,1356739200
213,41922,1356739200
214,17047,1243641600
214,62160,1393459200
214,50371,1396051200
214,51703,1396051200
215,33938,1308268800
215,32377,1334188800
215,37786,1339545600
215,21324,1378166400
216,7001,1213747200
216,11260,1213747200
216,13833,1213747200
216,35084,1312243200
216,1570,1361664000
216,9775,1377129600
216,14191,1386201600
216,49387,1386201600
217,20482,1299628800
217,9888,1310256000
217,1664,1315958400
217,527,1322438400
217,12862,1322438400
217,35976,1322438400
217,39020,1322438400
218,16679,1355184000
218,25974,1355184000
218,38588,1355184000
218,40886,1355184000
218,45044,1355184000
218,46092,1355184000
218,47924,1355184000
218,49742,1355184000
219,6636,1267315200
219,17330,1267315200
219,115,1278720000
219,18782,1308009600
219,23128,1341360000
219,51353,1365724800
219,46214,1366416000
220,2014,1362268800
220,20710,1362268800
220,26172,1362268800
221,8431,1343174400
221,12079,1343174400
221,10035,1356739200
221,31711,1359244800
222,48877,1354492800
222,46067,1358294400
222,13403,1358380800
223,21445,1396224000
223,14802,1398988800
223,17556,1398988800
223,53734,1398988800
223,55515,1398988800
223,59621,1398988800
223,48627,1402358400
223,38329,1403136000
223,19851,1403568000
223,48952,1403568000
224,3974,1215129600
224,5785,1215129600
224,5881,1231200000
224,4724,1296864000
224,4546,1309132800
225,12542,1395014400
225,12971,1395014400
225,39523,1395014400
225,39924,1395014400
225,45957,1395014400
225,46633,1395014400
225,46736,1395014400
225,54393,1395014400
226,4849,1167350400
226,5272,1167350400
226,6975,1167350400
226,4886,1184198400
226,9352,1184198400
226,6402,1214870400
226,27650,1285200000
226,23197,1292716800
227,18180,1324944000
227,33899,1339977600
227,50339,1343260800
227,46409,1346112000
228,50877,1361923200
228,42601,1362528000
228,47388,1365465600
228,60742,1390176000
229,32859,1298592000
229,297,1323734400
229,1016,1348790400
229,6166,1348790400
230,4274,1210032000
230,6805,1210032000
230,3623,1259798400
231,6361,1153785600
231,6496,1153785600
231,8449,1156809600
231,5808,1168387200
231,2074,1194825600
231,11181,1197504000
232,7948,1387152000
232,59368,1387756800
232,5722,1388793600
233,505,1244419200
233,16777,1262044800
233,14806,1292457600
233,18354,1298332800
234,24848,1287619200
234,46587,1355356800
234,54092,1355356800
235,16742,1295827200
235,56810,1377648000
235,6272,1404604800
235,29064,1404604800
236,4328,1394668800
236,11845,1394668800
236,31538,1394668800
236,48648,1394668800
236,56666,1394668800
236,55642,1398816000
236,62463,1398816000
237,19530,1264809600
237,24652,1267574400
237,4367,1327795200
237,5677,1327795200
237,24740,1348185600
238,35557,1360886400
238,44646,1360886400
238,43440,1383696000
238,43451,1383696000
239,23107,1286582400
239,30139,1290124800
239,30537,1290556800
239,5963,1343692800
240,14523,1223510400
240,14078,1359417600
240,21174,1359417600
240,29939,1359417600
241,57265,1384646400
241,58220,1384646400
241,29105,1384732800
242,367,1021248000
242,265,1029888000
242,1195,1029888000
243,43010,1370131200
243,46550,1370131200
243,48624,1370131200
